Model,Accuracy,F1 Score,Confusion Matrix
LogisticRegression,0.5795454545454546,0.48461240310077514,"[[ 1  5  2  0]
 [ 3 32  7  1]
 [ 0 11 10  3]
 [ 0  5  0  8]]"
RidgeClassifier,0.5113636363636364,0.4265922706474148,"[[ 1  5  0  2]
 [ 5 27 10  1]
 [ 2  8  9  5]
 [ 1  3  1  8]]"
SGDClassifier,0.5454545454545454,0.41721088435374154,"[[ 0  7  1  0]
 [ 3 31  7  2]
 [ 0 11 10  3]
 [ 0  6  0  7]]"
RandomForestClassifier,0.6477272727272727,0.46665542060278903,"[[ 0  8  0  0]
 [ 0 43  0  0]
 [ 0 16  8  0]
 [ 0  7  0  6]]"
GradientBoostingClassifier,0.6477272727272727,0.4899352983465133,"[[ 0  7  1  0]
 [ 0 39  3  1]
 [ 0 13 11  0]
 [ 1  5  0  7]]"
AdaBoostClassifier,0.5454545454545454,0.32296918767507005,"[[ 0  7  1  0]
 [ 0 40  3  0]
 [ 0 18  6  0]
 [ 0 11  0  2]]"
ExtraTreesClassifier,0.6590909090909091,0.4853448275862069,"[[ 0  8  0  0]
 [ 0 43  0  0]
 [ 0 16  8  0]
 [ 0  6  0  7]]"
BaggingClassifier,0.6590909090909091,0.47432432432432436,"[[ 0  5  2  1]
 [ 0 42  1  0]
 [ 0 14 10  0]
 [ 0  7  0  6]]"
XGBClassifier,0.6590909090909091,0.47790953008344317,"[[ 0  6  1  1]
 [ 0 38  5  0]
 [ 0  7 14  3]
 [ 1  5  1  6]]"
LGBMClassifier,0.6704545454545454,0.4880952380952381,"[[ 0  6  1  1]
 [ 0 40  3  0]
 [ 0 10 13  1]
 [ 0  6  1  6]]"
CatBoostClassifier,0.6477272727272727,0.4619883040935672,"[[ 0  7  1  0]
 [ 0 42  1  0]
 [ 0 14 10  0]
 [ 0  8  0  5]]"
MLPClassifier,0.5227272727272727,0.4442162127191564,"[[ 1  3  2  2]
 [ 4 25 10  4]
 [ 0 10 12  2]
 [ 0  1  4  8]]"
SVC,0.625,0.4140238416554206,"[[ 0  8  0  0]
 [ 0 43  0  0]
 [ 0 14  8  2]
 [ 0  9  0  4]]"
